Tipo,Porcentaje,6,7,5,31,28,11,13,32,23,16,41,30,24,38,25,43,9,35,39,15,4,37,1,18,45,49,14,50,21,46,44,36,34,27,17,2,19,3,42,20,22,33,8,10,40,29,26,12,47,48
T,0.5,0,1,1,1,1,0.5,0,0.5,0,1,0,0.5,1,0,0,0,1,0,1,0.5,0.9,1,0,0.3,0.5,0.5,0,0,0.7,1,0.5,0.5,0.5,0.5,0.5,0,1,1,0.5,1,0.8,0.4,0.8,1,1,1,0.8,1,1,1
T,0.5,0,1,1,1,1,0.5,0,0.5,0,1,1,0.5,1,0,0,0,1,0,1,0.5,0.9,1,0,0,0.5,0.5,0,0,0.7,1,0.5,0.5,0.5,0.5,0.5,0,1,0,0,0,0.8,0.4,0.8,1,1,1,0.8,1,1,1
T,0.5,0,1,1,1,1,1,0,0,0,1,1,1,0,0.5,0,0,1,0,1,0.5,1,1,0,1,0.8,0.8,0,0,1,0,1,1,1,0.5,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
T,0.75,1,1,1,0.3,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0.4,0,1,0,0,0,0,0.5,1,0,0.7,0,0,1,0.5,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
T,0.75,1,1,1,0.3,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0.4,0,1,0.5,0,0,0,0.5,1,0,0.7,1,0.5,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1
T,1,1,1,1,0.5,0,0.25,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0.8,0.4,0.3,0.8,0,0,0,0,1,0,0.75,1,0,1,1,1,1,0,0,1,0,1,0.5,1,1,1,1
T,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0.4,1,1,0,0.8,1,0,0.8,0,0,0,1,1,0,0.75,0,0,1,1,1,0,0,1,1,0,1,0.5,1,1,1,1
T,1,1,1,0,0,1,0,0.5,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0.5,0.75,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1
T,0.5,0,1,1,0,0.5,1,0.5,0,0,1,1,1,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.5,0.5,0.75,0.5,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1
T,0.5,1,1,0,0,1,1,0.5,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0.3,1,0,1,0,0,0,0,1,0,0,0.5,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1
D,1,1,1,1,0.25,0.5,0.5,0.5,0.5,0,0.8,1,1,1,0,0,1,0.8,0,0.5,1,1,0.8,0,0.4,0.4,0.3,1,0,0.5,0.5,1,1,0.5,0.5,0.5,0,0.9,1,0.9,0.5,0.3,1,1,1,1,1,0.8,1,1,0
D,1,1,0,0.5,0,0,0.5,0,0,0,1,0,0,1,1,0,0.8,1,0,1,0,0,0,0,0.4,0.8,0.3,0.8,0,0,0.5,0.5,1,0,0,0.5,0,0.2,0.6,0.5,0,0,0.5,0.5,0,1,1,0,0,0.8,0
D,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,0,1,1,1,0,0,0,0.7,0,1,0,0,0,1,1,0,0,0.5,0,0,0.5,0,0,0,0.5,0.5,1,1,0,0,0,0,0
D,1,1,0,1,0.25,0,0,0,0.25,0,0,0,0,0.5,0,0,1,0,0,0,0,0.3,0.8,0,0,0.4,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
D,1,1,0,1,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
