Group,Time,Exercise,Cycle Number,Cycle is correct
9,180,MR,5,1
9,296,MR,6,1
9,140,MR,7,1
9,133,MR,8,1
9,321,MR,9,1
9,386,MR,10,1
9,202,MR,11,1
9,290,MR,12,1
9,190,MR,13,1
9,308,MR,14,1
9,92,MR,15,1
9,167,MR,16,1
9,135,MR,17,1
9,185,MR,18,1
9,61,MR,19,1
9,189,MR,20,1
9,257,MR,21,1
9,269,MR,22,1
9,123,MR,23,1
9,2941,MR,24,1
9,2877,MR,25,1
9,560,MR,26,0
9,690,PO1,1,0
9,250,PO1,2,1
9,515,PO1,3,1
9,87,PO1,4,1
9,214,PO1,5,1
9,180,PO1,6,0
9,65,PO1,7,1
9,220,PO1,8,1
9,364,PO1,9,1
9,422,PO1,10,1
9,318,PO1,11,1
9,404,PO1,12,1
9,686,PO1,13,1
9,917,PO1,14,0
9,1234,PO1,15,1
9,223,PO1,16,1
9,429,PO1,17,0
9,1926,PO1,18,1
9,275,PO1,19,1
9,578,PO1,20,1
9,9974,PO1,21,0
9,707,PO1,22,1
9,984,PO1,23,1
9,17827,PO2,1,0
9,74,TL1,1,1
9,671,TL1,2,1
9,938,TL1,3,1
9,316,TL1,4,0
9,147,TL1,5,1
9,279,TL1,6,1
9,344,TL1,7,1
9,851,TL3,1,0
9,1862,TL3,2,1
9,773,TL3,3,0
9,444,TL3,4,1
9,1499,TL3,5,1
9,929,TL3,6,0
9,237,TL3,7,0
9,113,TL3,8,1
9,3018,TL3,9,0
