Group,Excercise,TestLines,ModelLines
SOL_EJ,MR,91,165
SOL_EJ,PO1,191,160
SOL_EJ,PO2,0,444
SOL_EJ,TEL,673,327
SOL_EJ,TL1,0,95
SOL_EJ,TL2,0,302
SOL_EJ,TL3,0,853
