Group,Excercise,TestLines,ModelLines
10,MR,73,235
10,PO1,219,161
10,PO2,482,421
10,TEL,287,310
10,TL1,78,37
10,TL2,235,162
10,TL3,384,363
11,MR,57,156
11,PO1,220,121
11,PO2,417,374
11,TEL,243,229
11,TL1,37,27
11,TL2,173,186
11,TL3,498,300
12,MR,145,184
12,PO1,193,132
12,PO2,336,318
12,TEL,176,156
12,TL1,36,39
12,TL2,240,175
12,TL3,317,327
13,MR,69,140
13,PO1,167,172
13,PO2,197,649
13,TEL,186,252
13,TL1,46,31
13,TL2,133,97
13,TL3,334,275
14,MR,177,167
14,PO1,196,177
14,PO2,421,424
14,TEL,293,364
14,TL1,87,37
14,TL2,220,214
14,TL3,514,446
15,MR,177,167
15,PO1,196,177
15,PO2,421,424
15,TEL,293,364
15,TL1,87,37
15,TL2,220,214
15,TL3,514,446
16,MR,145,138
16,PO1,225,145
16,PO2,399,333
16,TEL,353,299
16,TL2,132,118
17,MR,81,159
17,PO1,176,187
17,PO2,395,471
17,TEL,219,388
17,TL1,64,42
17,TL2,181,159
17,TL3,325,402
19,MR,63,37
19,PO1,187,138
19,PO2,6,817
19,TEL,436,211
19,TL1,85,26
19,TL2,10,467
19,TL3,12,820
1,MR,76,200
1,PO1,149,162
1,PO2,511,446
1,TEL,171,194
1,TL1,70,38
1,TL2,257,179
1,TL3,464,392
20,MR,117,136
20,PO1,447,254
20,TEL,400,338
20,TL1,172,99
20,TL2,189,113
20,TL3,428,347
22,MR,50,209
22,PO1,163,159
22,TEL,239,382
22,TL1,62,40
22,TL3,347,378
25,MR,153,59
25,PO1,180,148
25,PO2,559,471
25,TEL,603,234
25,TL1,58,35
25,TL2,221,168
2,MR,72,118
2,PO1,172,120
2,PO2,357,306
2,TEL,294,220
2,TL2,114,126
2,TL3,289,310
3,MR,124,121
3,PO1,225,183
3,PO2,383,439
3,TEL,345,231
3,TL3,385,317
4,MR,33,106
4,PO1,167,132
4,PO2,336,323
4,TEL,346,197
4,TL1,69,28
4,TL2,124,137
4,TL3,292,276
5,MR,108,222
5,PO1,201,155
5,PO2,456,413
5,TEL,358,318
5,TL1,62,37
5,TL2,158,121
5,TL3,461,448
6,MR,79,257
6,PO1,140,144
6,PO2,323,309
6,TEL,294,211
6,TL1,33,23
6,TL2,191,123
6,TL3,590,290
7,MR,76,205
7,PO1,350,202
7,PO2,394,318
7,TEL,233,128
7,TL1,35,23
7,TL2,0,292
7,TL3,0,937
8,MR,85,62
8,PO1,391,148
8,PO2,572,394
8,TEL,500,333
8,TL1,52,37
8,TL2,168,180
8,TL3,312,433
9,MR,72,83
9,PO1,118,107
9,PO2,6,862
9,TEL,223,170
9,TL1,33,29
9,TL2,33,29
9,TL3,343,336
